web-scraper-order,web-scraper-start-url,link-uhr-detail,link-uhr-detail-href,nexpage,nexpage-href,link-product-detail,link-product-detail-href,name,Size,description,preis
"1561329098-11","https://www.uhren-park.de/index.php/cat/c1_Kuckucksuhren.html#page=1&filter[15]=60&products_sorter=0&perpage_selector=48&shipping=0&minimumPrice=59&maximumPrice=500","","","3","https://www.uhren-park.de/index.php/callfrom/ajax/filters/filter%255B15%255D%3D60%26products_sorter%3D0%26shipping%3D0%26/minimumPrice/59/maximumPrice/500/maxPerPage/48/cat/c1_Kuckucksuhren.html/page/3","","https://www.uhren-park.de/product_info.php/info/p497_Engstler--Edelweis-bemalt-22cm--522-10-Q.html","Edelweis bemalt 22cm","null","Height = 8,5''<br>Solid wood<br>Hand made<br>Quarz mechanism<br>Cuckoo call to each full hour<br>Waterfall sound and echo in back while cuckoo's call<br>Automatic night time shut off with light sensor<br><br>Five leaves are decorating the lovely carving. Lovely hand painted flowers.","96,00"
"1561329268-55","https://www.uhren-park.de/index.php/cat/c1_Kuckucksuhren.html#page=1&filter[15]=60&products_sorter=0&perpage_selector=48&shipping=0&minimumPrice=59&maximumPrice=500","","","2","https://www.uhren-park.de/index.php/callfrom/ajax/filters/filter%255B15%255D%3D60%26products_sorter%3D0%26shipping%3D0%26/minimumPrice/59/maximumPrice/500/maxPerPage/48/cat/c1_Kuckucksuhren.html/page/2","","https://www.uhren-park.de/product_info.php/info/p11714_Engstler--Schwarzwaldhaus-41cm--4832-QMT.html","Schwarzwaldhaus 41cm","null","Hight x Width = 41 x 36cm<br><br>Black Forest house<br>Solid wood<br>Hand made<br>Hand shingeld roof<br>Dancing figurines<br>Quarz mechanism<br>Cuckoo call to each full hour<br>Music work with 12 melodies<br>Waterfall sound and echo in back while cuckoo's call<br>Automatic night time shut off with light sensor","310,00"
"1561329328-77","https://www.uhren-park.de/index.php/cat/c1_Kuckucksuhren.html#page=1&filter[15]=60&products_sorter=0&perpage_selector=48&shipping=0&minimumPrice=59&maximumPrice=500","","","2","https://www.uhren-park.de/index.php/callfrom/ajax/filters/filter%255B15%255D%3D60%26products_sorter%3D0%26shipping%3D0%26/minimumPrice/59/maximumPrice/500/maxPerPage/48/cat/c1_Kuckucksuhren.html/page/2","","https://www.uhren-park.de/product_info.php/info/p16826_Engstler--Schwarzwaldhaus-wei--30cm--444-3-Q.html","Schwarzwaldhaus weiß 30cm","null","Height x Width = 30 x 28cm<br><br>Black Forest house<br>Solid wood<br>Hand made<br>Hand shingeld roof<br>Quarz mechanism<br>Cuckoo call to each full hour<br>Automatic night time shut off with light sensor","151,00"
"1561329795-129","https://www.uhren-park.de/index.php/cat/c1_Kuckucksuhren.html#page=1&filter[15]=60&products_sorter=0&perpage_selector=48&shipping=0&minimumPrice=59&maximumPrice=500","","https://www.uhren-park.de/product_info.php/info/p21495_Trenkle--Velour-41cm--3060-Q.html","","","","","Velour 41cm","Height x Width = 41 x 27cm","Height x Width = 41 x 27cm<br>Front with mud-colored velor slip<br>Quarz mechanism<br>Cuckoo call to each full hour<br>Automatic night time shut off with light sensor<br>Waterfall sound and echo in back while cuckoo's call<br>Solid wood<br>Wooden weights<br>Wooden hands","206,00"
"1561329304-66","https://www.uhren-park.de/index.php/cat/c1_Kuckucksuhren.html#page=1&filter[15]=60&products_sorter=0&perpage_selector=48&shipping=0&minimumPrice=59&maximumPrice=500","","","2","https://www.uhren-park.de/index.php/callfrom/ajax/filters/filter%255B15%255D%3D60%26products_sorter%3D0%26shipping%3D0%26/minimumPrice/59/maximumPrice/500/maxPerPage/48/cat/c1_Kuckucksuhren.html/page/2","","https://www.uhren-park.de/product_info.php/info/p14191_Engstler--Schwarwaldhaus-42cm--4491-QMT.html","Schwarwaldhaus 42cm","null","Height x Width = 42 x 35cm<br><br>Black Forest house<br>Solid wood<br>Hand made<br>Hand shingeld roof<br>Dancing figurines<br>Quarz mechanism<br>Cuckoo call to each full hour<br>Music work with 12 melodies<br>To the music the wood chopper is moving his arm and the mill wheel is rotating<br>Waterfall sound and echo in back while cuckoo's call<br>Automatic night time shut off with light sensor<br>Wooden hands","318,00"
"1561329248-45","https://www.uhren-park.de/index.php/cat/c1_Kuckucksuhren.html#page=1&filter[15]=60&products_sorter=0&perpage_selector=48&shipping=0&minimumPrice=59&maximumPrice=500","","","2","https://www.uhren-park.de/index.php/callfrom/ajax/filters/filter%255B15%255D%3D60%26products_sorter%3D0%26shipping%3D0%26/minimumPrice/59/maximumPrice/500/maxPerPage/48/cat/c1_Kuckucksuhren.html/page/2","","https://www.uhren-park.de/product_info.php/info/p9050_Trenkle--Tischuhr-21cm--486-QM.html","Tischuhr 21cm","null","Table clock (also suitable to hang onto the wall)<br><br>Hight x Width = 21 x 26cm<br><br>Black Forest house<br>Solid wood<br>Hand made<br>Hand shingeld roof<br>Quarz mechanism<br>Cuckoo call to each full hour<br>Music work with 12 melodies<br>Waterfall sound and echo in back while cuckoo's call<br>Automatic night time shut off with light sensor<br>Wooden hands","166,00"
"1561329518-111","https://www.uhren-park.de/index.php/cat/c1_Kuckucksuhren.html#page=1&filter[15]=60&products_sorter=0&perpage_selector=48&shipping=0&minimumPrice=59&maximumPrice=500","","https://www.uhren-park.de/product_info.php/info/p20000_Trenkle--Heidihaus-23cm--4247-QM.html","","","","","Heidihaus 23cm","null","Height x Width = 23 x 24cm<br>Quarz mechanism<br>Cuckoo call to each full hour<br>Automatic night time shut off with light sensor<br>Music work with 12 melodies<br>Waterfall sound and echo in back while cuckoo's call<br>Solid wood<br>Hand made<br>Hand shingeld roof<br>Wooden hands","164,00"
"1561329367-96","https://www.uhren-park.de/index.php/cat/c1_Kuckucksuhren.html#page=1&filter[15]=60&products_sorter=0&perpage_selector=48&shipping=0&minimumPrice=59&maximumPrice=500","","https://www.uhren-park.de/product_info.php/info/p18626_Engstler--Eisenbahn-36cm--45110-QMT.html","","","","","Eisenbahn 36cm","null","Height x Width = 36 x 39cm<br>Quarz mechanism<br>Cuckoo call to each full hour<br>Automatic night time shut off with light sensor<br>Music work with 12 melodies<br>Waterfall sound and echo in back while cuckoo's call<br>Black Forest house<br>Solid wood<br>Hand made<br>Hand shingeld roof<br>Dancing figurines<br>Wooden hands<br>While the music is playing the railway is driving","326,00"
"1561329565-114","https://www.uhren-park.de/index.php/cat/c1_Kuckucksuhren.html#page=1&filter[15]=60&products_sorter=0&perpage_selector=48&shipping=0&minimumPrice=59&maximumPrice=500","","https://www.uhren-park.de/product_info.php/info/p20037_Trenkle--Heidi-19cm--4263-QMS.html","","","","","Heidi 19cm","null","Height x Width = 19 x 20cm<br>Quarz mechanism<br>Cuckoo call to each full hour<br>Automatic night time shut off with light sensor<br>Music work with 12 melodies<br>Waterfall sound and echo in back while cuckoo's call<br>Solid wood<br>Hand made<br>Wooden hands","138,00"
"1561329310-69","https://www.uhren-park.de/index.php/cat/c1_Kuckucksuhren.html#page=1&filter[15]=60&products_sorter=0&perpage_selector=48&shipping=0&minimumPrice=59&maximumPrice=500","","","2","https://www.uhren-park.de/index.php/callfrom/ajax/filters/filter%255B15%255D%3D60%26products_sorter%3D0%26shipping%3D0%26/minimumPrice/59/maximumPrice/500/maxPerPage/48/cat/c1_Kuckucksuhren.html/page/2","","https://www.uhren-park.de/product_info.php/info/p14231_Engstler--Modern-Style-35cm--632-20-Q.html","Modern Style 35cm","null","Height x Width = 35 x 24cm<br><br>Solid wood<br>Case white laquered<br>Carving silver laquered<br>Birds, pendulums disc and weights are black laquered<br>Hand made<br>Quarz mechanism<br>Cuckoo call to each full hour<br>Waterfall sound and echo in back while cuckoo's call<br>Automatic night time shut off with light sensor","125,00"
"1561329316-72","https://www.uhren-park.de/index.php/cat/c1_Kuckucksuhren.html#page=1&filter[15]=60&products_sorter=0&perpage_selector=48&shipping=0&minimumPrice=59&maximumPrice=500","","","2","https://www.uhren-park.de/index.php/callfrom/ajax/filters/filter%255B15%255D%3D60%26products_sorter%3D0%26shipping%3D0%26/minimumPrice/59/maximumPrice/500/maxPerPage/48/cat/c1_Kuckucksuhren.html/page/2","","https://www.uhren-park.de/product_info.php/info/p14409_Trenkle--Bierschaenke-27x39cm--4210-QMT-HZZG.html","Bierschänke 27x39cm","null","Height x Width = 27 x 39cm<br><br>Solid wood<br>Hand made<br>Hand shingeld roof<br>Quarz mechanism<br>Cuckoo call to each full hour<br>Music work with 12 melodies<br>Waterfall sound and echo in back while cuckoo's call<br>Automatic night time shut off with light sensor<br>Wooden weights<br>Wooden hands","350,00"
"1561329234-40","https://www.uhren-park.de/index.php/cat/c1_Kuckucksuhren.html#page=1&filter[15]=60&products_sorter=0&perpage_selector=48&shipping=0&minimumPrice=59&maximumPrice=500","","","3","https://www.uhren-park.de/index.php/callfrom/ajax/filters/filter%255B15%255D%3D60%26products_sorter%3D0%26shipping%3D0%26/minimumPrice/59/maximumPrice/500/maxPerPage/48/cat/c1_Kuckucksuhren.html/page/3","","https://www.uhren-park.de/product_info.php/info/p8913_Trenkle--Bianca-34cm--350-Q-WEISS.html","Bianca 34cm","null","Hight x Wifth = 34 x 24cm<br><br>Solid wood<br>Hand made<br>Quarz mechanism<br>Cuckoo call to each full hour<br>Waterfall sound and echo in back while cuckoo's call<br>Automatic night time shut off with light sensor","150,00"
"1561329126-16","https://www.uhren-park.de/index.php/cat/c1_Kuckucksuhren.html#page=1&filter[15]=60&products_sorter=0&perpage_selector=48&shipping=0&minimumPrice=59&maximumPrice=500","","","3","https://www.uhren-park.de/index.php/callfrom/ajax/filters/filter%255B15%255D%3D60%26products_sorter%3D0%26shipping%3D0%26/minimumPrice/59/maximumPrice/500/maxPerPage/48/cat/c1_Kuckucksuhren.html/page/3","","https://www.uhren-park.de/product_info.php/info/p2191_Engstler--Modern-Style-31cm--522-5-13-Q.html","Modern Style 31cm","null","Hight = 31cm<br>Solid wood<br>Hand made<br>Quarz mechanism<br>Cuckoo call to each full hour<br>Waterfall sound and echo in back while cuckoo's call<br>Automatic night time shut off with light sensor<br><br>Silver laquered carving and black coloured case. Quartz mechanism with cuckoo call every full hour. Automatic night time shut off with light sensor.","108,00"
"1561329100-12","https://www.uhren-park.de/index.php/cat/c1_Kuckucksuhren.html#page=1&filter[15]=60&products_sorter=0&perpage_selector=48&shipping=0&minimumPrice=59&maximumPrice=500","","","3","https://www.uhren-park.de/index.php/callfrom/ajax/filters/filter%255B15%255D%3D60%26products_sorter%3D0%26shipping%3D0%26/minimumPrice/59/maximumPrice/500/maxPerPage/48/cat/c1_Kuckucksuhren.html/page/3","","https://www.uhren-park.de/product_info.php/info/p496_Engstler--Bemalt-22cm--522-6-Q.html","Bemalt 22cm","null","Height = 8,5''<br>Solid wood<br>Hand made<br>Quarz mechanism<br>Cuckoo call to each full hour<br>Waterfall sound and echo in back while cuckoo's call<br>Automatic night time shut off with light sensor<br><br>Five leaves are decorating the lovely carving. Lovely hand painted flowers.","95,00"
"1561329336-81","https://www.uhren-park.de/index.php/cat/c1_Kuckucksuhren.html#page=1&filter[15]=60&products_sorter=0&perpage_selector=48&shipping=0&minimumPrice=59&maximumPrice=500","","","2","https://www.uhren-park.de/index.php/callfrom/ajax/filters/filter%255B15%255D%3D60%26products_sorter%3D0%26shipping%3D0%26/minimumPrice/59/maximumPrice/500/maxPerPage/48/cat/c1_Kuckucksuhren.html/page/2","","https://www.uhren-park.de/product_info.php/info/p17268_Engstler--Holzhacker-37cm--4661-QMT-HG.html","Holzhacker 37cm","null","Height x Width = 37 x 34cm<br><br>Quarz mechanism<br>Cuckoo call to each full hour<br>Automatic night time shut off with light sensor<br>Music work with 12 melodies<br>Waterfall sound and echo in back while cuckoo's call<br>Black Forest house<br>Solid wood<br>Hand made<br>Hand shingeld roof<br>Dancing figurines<br>Wooden hands<br>To the music the wood chopper is moving his arm and the mill wheel is rotating","279,00"
"1561329276-59","https://www.uhren-park.de/index.php/cat/c1_Kuckucksuhren.html#page=1&filter[15]=60&products_sorter=0&perpage_selector=48&shipping=0&minimumPrice=59&maximumPrice=500","","","2","https://www.uhren-park.de/index.php/callfrom/ajax/filters/filter%255B15%255D%3D60%26products_sorter%3D0%26shipping%3D0%26/minimumPrice/59/maximumPrice/500/maxPerPage/48/cat/c1_Kuckucksuhren.html/page/2","","https://www.uhren-park.de/product_info.php/info/p11895_AMS--Modern-Cuckoo--7397.html","Modern Cuckoo","null","Hight x Width x Depth = 18 x 23 x 10cm<br><br>Battery driven quarz movement with a cuckoos call<br>Shut off lever<br>The cuckoo comes out while he is calling<br>Wall or table clock<br>Wooden case white and black laquered<br>Black hands","107,10"
"1561329134-20","https://www.uhren-park.de/index.php/cat/c1_Kuckucksuhren.html#page=1&filter[15]=60&products_sorter=0&perpage_selector=48&shipping=0&minimumPrice=59&maximumPrice=500","","","3","https://www.uhren-park.de/index.php/callfrom/ajax/filters/filter%255B15%255D%3D60%26products_sorter%3D0%26shipping%3D0%26/minimumPrice/59/maximumPrice/500/maxPerPage/48/cat/c1_Kuckucksuhren.html/page/3","","https://www.uhren-park.de/product_info.php/info/p2665_Engstler--Schwarzwaldhaus-33cm--470-QMT-HZE-MG.html","Schwarzwaldhaus 33cm","null","Hight = 33cm<br><br>Black Forest house<br>Solid wood<br>Hand made<br>Dancing figurines<br>Quarz mechanism<br>Cuckoo call to each full hour<br>Music work with 12 melodies<br><br>To the music the wood chopper is moving his arm and the mill wheel is rotating<br>Waterfall sound and echo in back while cuckoo's call<br>Automatic night time shut off with light sensor<br>Wooden hands","296,00"
"1561329376-100","https://www.uhren-park.de/index.php/cat/c1_Kuckucksuhren.html#page=1&filter[15]=60&products_sorter=0&perpage_selector=48&shipping=0&minimumPrice=59&maximumPrice=500","","https://www.uhren-park.de/product_info.php/info/p18799_Engstler--Holzhacker-34cm--4691-QMT.html","","","","","Holzhacker 34cm","Height x Width = 34 x 36cm","Height x Width = 34 x 36cm<br>Quarz mechanism<br>Cuckoo call to each full hour<br>Automatic night time shut off with light sensor<br>Music work with 12 melodies<br>Waterfall sound and echo in back while cuckoo's call<br>Black Forest house<br>Solid wood<br>Hand made<br>Hand shingeld roof<br>Dancing figurines<br>Wooden hands<br>To the music the wood chopper is moving his arm and the mill wheel is rotating","308,00"
"1561329549-113","https://www.uhren-park.de/index.php/cat/c1_Kuckucksuhren.html#page=1&filter[15]=60&products_sorter=0&perpage_selector=48&shipping=0&minimumPrice=59&maximumPrice=500","","https://www.uhren-park.de/product_info.php/info/p20038_Trenkle--Musikanten-21cm--4262-QMS.html","","","","","Musikanten 21cm","null","Height x Width = 21 x 29cm<br>Quarz mechanism<br>Cuckoo call to each full hour<br>Automatic night time shut off with light sensor<br>Music work with 12 melodies<br>Waterfall sound and echo in back while cuckoo's call<br>Black Forest house<br>Solid wood<br>Hand made<br>Hand shingeld roof<br>Wooden hands","130,00"
"1561329626-118","https://www.uhren-park.de/index.php/cat/c1_Kuckucksuhren.html#page=1&filter[15]=60&products_sorter=0&perpage_selector=48&shipping=0&minimumPrice=59&maximumPrice=500","","https://www.uhren-park.de/product_info.php/info/p20133_Engstler--Nudelholz-33cm--45015-QM.html","","","","","Nudelholz 33cm","null","Height x Width = 33 x 28cn<br>Quarz mechanism<br>Cuckoo call to each full hour<br>Automatic night time shut off with light sensor<br>Music work with 12 melodies<br>Waterfall sound and echo in back while cuckoo's call<br>Solid wood<br>Hand made<br>Wooden hands","253,00"
